country,iso code,observations,money growth,inflation,gdp growth,nominal interest rate,exchange rate depreciation,income group,oecd
St. Kitts and Nevis,SVN,41.0,0.08752414731867497,0.03279845097106815,0.0348739921199277,0.09967262148670869,0.0,high,no
St. Lucia,SWE,40.0,0.07349907629136165,0.028700858563810216,0.026353300680153957,0.11334337550338626,0.0,middle,no
St. Vincent and the Grenadines,SXM,41.0,0.07219995548785585,0.02881069788001267,0.029087793366639803,0.10211599778547517,0.0,middle,no
Suriname,SYR,31.0,0.35347180610019957,0.33618824068507447,0.016911187607222322,0.1768046705885283,0.33017773815617746,middle,no
Sweden,TCA,15.0,0.06801152909142938,0.016298159778714183,0.02955186195804127,0.07360835555555555,0.01704199119717731,high,yes
Tajikistan,THA,18.0,0.2897292335131674,0.12147069829652168,0.07348375202037238,0.23047140269806662,0.07552528483231802,middle,no
Tanzania,TJK,29.0,0.17832718685311355,0.1201287174805239,0.054013189285972096,0.19784910224956012,0.07565380108038378,middle,no
Thailand,TKM,26.0,0.1664382521461074,0.050084338537820905,0.06244290471630354,0.12917467948717942,0.031626527242246905,middle,no
Togo,TON,13.0,0.14812542136372198,0.048229025342921394,0.04794807933347722,0.05371480769230771,0.008071492743903175,low,no
Trinidad and Tobago,TUN,42.0,0.08736741074097654,0.04310153432422692,0.02093951698765273,0.11767946428571431,0.025545960180346272,high,no
Uganda,UKR,25.0,0.16796034930289316,0.0776434478879009,0.06516963197660353,0.21148405870376843,0.05726243000547604,low,no
Ukraine,URY,28.0,0.3575742037680609,0.34982996273196254,-0.005628811028755121,0.43173946428571425,0.26693231784531246,middle,no
United Kingdom,UZB,48.0,0.11544002427106559,0.05964472975138069,0.023713042544742935,0.07368179166666661,0.011077942245768746,high,yes
United States,VCT,61.0,0.07373553507099939,0.03274146962960933,0.02907059587328642,0.07094234972677595,0.0,high,yes
Uruguay,VEN,45.0,0.34127535499227024,0.289073322514668,0.022083304796171488,0.5744632837294567,0.2396100490569062,high,no
Vanuatu,VIR,40.0,0.07657155247559011,0.035288006830092256,0.025124895167805805,0.10064958333333333,0.007021311241594219,middle,no
Vietnam,VUT,25.0,0.2472257680019141,0.07235615078241908,0.06292921210703861,0.11022257857142857,0.03147088707047585,middle,no
"Yemen, Rep.",YEM,18.0,0.15377441001875858,0.11832906627599504,0.03344271659145215,0.20713425925925924,0.04973650877866986,low,no
Zambia,ZAF,28.0,0.2586127921206627,0.16959000072161268,0.04477702366931835,0.30670963690476166,0.1469426162372265,middle,no
