date,gdp,gdp_trend,consumption,consumption_trend,investment,investment_trend,hours,hours_trend,capital,capital_trend,tfp,tfp_trend,real_m2,real_m2_trend,t_bill_3mo,t_bill_3mo_trend,pce_inflation,pce_inflation_trend,unemployment,unemployment_trend
1997-07-01,57.15271885320342,57.06409453490471,36.808468650311404,37.081531896273084,10.722545464554418,10.54570995417233,118.78468963248001,118.12291628044555,61.37143232468271,61.701643925179205,21.51883106159611,21.52316544209144,26.069684611795118,26.382706763845515,0.05046666666666667,0.048979858567311886,0.016467637275751068,0.016401303028758828,0.04866666666666667,0.049305793380200136
1997-10-01,57.4825921383089,57.46008768860094,37.13922400276979,37.3671028508,10.784028368840898,10.684979311491137,119.0077838938505,118.37177830234413,61.908309522189384,62.166760061456166,21.550854718457128,21.586084155048805,26.317505206829114,26.57704020025119,0.0509,0.048872462152159735,0.01275454939341425,0.016123601666070082,0.04666666666666667,0.04849972365401281
1998-01-01,57.926133141164435,57.852400108407146,37.37844312941957,37.65574114017744,11.186886792144263,10.818405695018242,119.48311723188965,118.5721099765578,62.47561120355811,62.64551799424178,21.59190096570294,21.651375814150207,26.697540874198527,26.785302651258416,0.05053333333333334,0.04865812587430157,0.008384783370628979,0.015918837799533906,0.04633333333333333,0.04777082194116211
1998-04-01,58.317566849988694,58.2387501466991,37.92112283945884,37.94619642118084,11.025270222546585,10.944647977855263,119.79188628819,118.7196814117333,63.10876325984342,63.13589317099419,21.624918253855338,21.719000561587595,27.065590388241336,27.005947205131093,0.04976666666666667,0.04833330926757977,0.007678033562822595,0.01579604777311927,0.044,0.04712844068844321
1998-07-01,58.881813994181485,58.61684651628285,38.261126237793384,38.23700246202104,11.243156556057714,11.06255949811314,119.61331610540988,118.81087828979219,63.65918006944134,63.63568895132619,21.789004920960263,21.788881093105253,27.328764142716036,27.237329323772723,0.04823333333333333,0.04789564387049862,0.008127246392360954,0.015759559146777076,0.04533333333333333,0.04658103391227145
1998-10-01,59.65510184100696,58.98439544800041,38.69329675613288,38.52663211146946,11.534126773376823,11.171025774751241,120.72534615842459,118.84282077457279,64.23361377700762,64.14262024576038,21.873890987855813,21.86088025322854,27.876944663027686,27.477791176028294,0.04253333333333333,0.04734365706993683,0.007633893954383852,0.01580862572157679,0.044333333333333336,0.04613510035363185
1999-01-01,59.99118538317828,59.33922293965538,38.895131906875854,38.813528209301715,11.811644928048832,11.269037403719011,120.08351948935703,118.81321188674279,64.80983699463452,64.65434203318485,22.004584786827763,21.934859533350487,28.1736080111555,27.725676560086928,0.04406666666666667,0.0466760873086874,0.009531575851558616,0.015937731103116377,0.043,0.045796358940647625
1999-04-01,60.33021930185222,59.67953750769577,39.459127808552594,39.09619501018094,11.705685458813612,11.355815324172331,120.42610553674811,118.72101637591747,65.50574548781316,65.16849041109768,22.005587825289695,22.010687040308937,28.400049488435183,27.979521687816565,0.044533333333333334,0.04588866657720793,0.013450940097946562,0.016136249689639302,0.042666666666666665,0.04556940249705431
1999-07-01,60.94870286335267,60.003932269563,39.8620661866399,39.37314881148788,11.915468999931573,11.430934148030781,120.83793782653329,118.56608818915991,66.13364740969489,65.68272393631135,22.107962921535623,22.088273109589416,28.636992007534623,28.238090860717207,0.04649999999999999,0.04497549597805476,0.015897299454569636,0.01638955203235683,0.042333333333333334,0.04545707612224953
1999-10-01,61.767023921939106,60.31139664645129,40.34777109533314,39.643098536787946,12.185346444173577,11.494217978335834,120.98305883736955,118.34943670034868,66.79097530080197,66.19484119859115,22.309958499738606,22.167523794486275,28.782525870000708,28.500366876311837,0.05043333333333334,0.04392982953050685,0.019358091523040022,0.016681330363985416,0.04066666666666666,0.04546041070573694
