date,gdp,gdp_trend,consumption,consumption_trend,investment,investment_trend,hours,hours_trend,capital,capital_trend,tfp,tfp_trend
1986-10-01,45.83748811126896,45.881476862025956,29.05970266776875,28.91669036029782,8.287063938662214,8.460391286657964,109.45267708288355,110.34407764834836,52.755293636799536,52.65549487277575,19.1908768001149,19.120951533553168
1987-01-01,46.01773972076651,46.18128047510637,29.07454236741082,29.139266006782673,8.48986580997597,8.472877848159177,110.42574364979527,110.65484535677818,52.94740558626626,52.931988121167294,19.131463902911253,19.175561520625934
1987-04-01,46.379926717484686,46.47423971122831,29.46494116806297,29.356663918663507,8.439862041212006,8.479864539595848,110.71397276019891,110.94732159412676,53.21611735781633,53.202515968903015,19.2153206365186,19.22978261079861
1987-07-01,46.657850937017876,46.7593129386593,29.777374782619944,29.568138207685625,8.372107587971536,8.481323840461684,111.18144153391731,111.21769043620327,53.47394657875469,53.46600914793647,19.245013841253844,19.28377965997339
1987-10-01,47.341963527377494,47.03538077884792,29.786487433856788,29.77299738350347,8.947140802915932,8.47721395603588,112.06906081225574,111.46196551310749,53.7175415637316,53.72139047717425,19.39564250051574,19.33771033520167
1988-01-01,47.45752870571937,47.30124203153499,30.23192409188595,29.970671234872302,8.498970585761647,8.467435493325052,111.87371559705687,111.67612091854268,54.081960201165586,53.96757290837401,19.41904218937887,19.391709704974406
1988-04-01,47.970481343717715,47.555871767474784,30.424683174994758,30.160592109622602,8.637630659544133,8.452185785640033,113.20300629389624,111.85650342827404,54.34545953149595,54.203453844746434,19.44569789107531,19.445950712078844
1988-07-01,48.13401092353698,47.79833328293341,30.63159897854618,30.342352430698654,8.583018681459889,8.43169131171268,113.21684117602896,111.99958978483063,54.626214245159424,54.42799142547761,19.47528263959862,19.500625402435784
1988-10-01,48.66692710447057,48.02794434693412,30.95623308535299,30.515711458531598,8.677453215834039,8.406300675027358,114.23464286352333,112.10271312150086,54.89525596093885,54.640225068568306,19.54305376814861,19.555927823636626
1989-01-01,49.023633337357985,48.24423457360591,31.045737223878742,30.6806154491445,8.943996222543234,8.37646075908632,115.04745004599516,112.16399610995404,55.147324878259575,54.83931415226581,19.564383387488675,19.612038294319248
1989-04-01,49.29067375762234,48.44713975199656,31.210463179464043,30.83729612342677,8.791555702558142,8.342785759580783,115.23347733887536,112.1829239972036,55.49145823311137,55.024577327326774,19.60756880538594,19.66913113486737
